Komuna,Shkollë,Profili,Viti,Klasa,Gjinia,Total
Deçan,Vëllezërit Frashëri,Shoqëror,2017-18,10,Femër,68
Deçan,Vëllezërit Frashëri,Shkenca Natyrore,2017-18,10,Femër,83
Deçan,Tafil Kasumaj,Kontabilist,2017-18,10,Femër,19
Deçan,Tafil Kasumaj,Informatikë,2017-18,10,Femër,11
Deçan,Tafil Kasumaj,Mekatronikë,2017-18,10,Femër,2
Deçan,Tafil Kasumaj,Asistent i hotelerisë,2017-18,10,Femër,0
Deçan,Tafil Kasumaj,Mekanik i makinave,2017-18,10,Femër,0
Deçan,Tafil Kasumaj,Instalues ujësjellësi dhe kanalizimi,2017-18,10,Femër,0
Gjakovë,Shk f muz Prenk Jakova,Lëmi e përgjithshme –bashkëpunëtor i përgjithshëm muzikor,2017-18,10,Femër,13
Gjakovë,Shk f muz Prenk Jakova,Lëmi artistike (instrumental),2017-18,10,Femër,0
Gjakovë,Shk f muz Prenk Jakova,Interpretues - frymor,2017-18,10,Femër,1
Gjakovë,Hajdar Dushi,Shoqëror,2017-18,10,Femër,135
Gjakovë,Hajdar Dushi,Shkenca Natyrore,2017-18,10,Femër,145
Gjakovë,Hajdar Dushi | 1,Shoqëror,2017-18,10,Femër,2
Gjakovë,Hajdar Dushi | 2,Shoqëror,2017-18,10,Femër,4
Gjakovë,Hajdar Dushi | 3,Shoqëror,2017-18,10,Femër,6
Gjakovë,Asllan Berisha,Shoqëror,2017-18,10,Femër,7
Gjakovë,Asllan Berisha,I përgjithshëm,2017-18,10,Femër,0
Gjakovë,Asllan Berisha,Shkenca Natyrore,2017-18,10,Femër,16
Gjakovë,Hysni Zajmi,Teknik i dhëmbëve,2017-18,10,Femër,11
Gjakovë,Hysni Zajmi,Farmacist,2017-18,10,Femër,12
Gjakovë,Hysni Zajmi,Asistent infermier i  mamisë,2017-18,10,Femër,36
Gjakovë,Hysni Zajmi,Asistent infermier i pediatrisë ,2017-18,10,Femër,36
Gjakovë,Hysni Zajmi,Asistent infermier i përgjithshëm  ,2017-18,10,Femër,102
Gjakovë,Hysni Zajmi,Teknik i farmacisë,2017-18,10,Femër,0
Gjakovë,Hysni Zajmi,Laborant i shëndetësisë,2017-18,10,Femër,12
Gjakovë,Hysni Zajmi,Fizioterapeut,2017-18,10,Femër,9
Gjakovë,Kadri Kusari,Asistent i administratës,2017-18,10,Femër,16
Gjakovë,Kadri Kusari,Asistent juridik,2017-18,10,Femër,49
Gjakovë,Kadri Kusari,Asistent i sigurimeve,2017-18,10,Femër,20
Gjakovë,Kadri Kusari,Bankier,2017-18,10,Femër,53
Gjakovë,Kadri Kusari,Kontabilist,2017-18,10,Femër,20
Gjakovë,Kadri Kusari,Shpediter -logjistikë / Doganier,2017-18,10,Femër,5
Gjakovë,Kadri Kusari,Asistent i hotelerisë,2017-18,10,Femër,0
